Fertig. Die Datei `tools/book-referenzen/kiku_chto_Takoe_Uchebny_Proekt.html` wurde erstellt.

Zum Buch: **«Анатомия» учебного проекта (Что такое учебный проект?)** ist ein Methodik-Handbuch für Lehrkräfte zur Projektmethode im Unterricht – es enthält keine direkten kindgerechten Übungen, sondern strukturelles Material, das sich für die App adaptieren lässt.

Ich habe 8 nutzbare Stellen extrahiert, jeweils mit konkreter Umsetzungsidee:

| Relevanz | Stelle | Umsetzung in der App |
|---|---|---|
| ★★★★ | S. 1 – „Пять П“ | Sequenzierübung (Bildergeschichte ordnen) der 5 Projektschritte |
| ★★★★ | S. 4 – 5 Projekttypen | Kategorisieren / „Was passt nicht?“ |
| ★★★★★ | S. 12 – Lernfertigkeiten (7 Gruppen) | Brücke zu den 89 Faktoren + Alltagsförderung |
| ★★★ | S. 8 – Projektpass (17 Punkte) | Merkspanne „Koffer packen“ |
| ★★★ | S. 7 – Produktformen | Wortschatz / Memory / Oberbegriffe |
| ★★★ | S. 10 – Präsentationsformen | Sortierspiel + App-Minispiele |
| ★★★ | S. 9 – Projektmappe | Ordnungs-/„Was passt nicht?“-Spiel |
| ★★★ | S. 14–16 – Glossar | Wortschatz-/Definitionsquiz, Rätsel |

Jede Zeile enthält 8–10 eigene deutsche Sätze zur konkreten Umsetzung, kein wörtliches Kopieren, keine weiteren Dateien angefasst.
